UserID;Dataset;Question;AudioData;Answer;Timestamp;Decision time;Playback count;Tracked time
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0090391607.wav;Canonical;2019-02-08 14:42:02+00:00;7004;3;0:00:21
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0003778509.wav;Non-canonical;2019-02-08 14:42:21+00:00;1389;1;0:00:04.695207
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0048879195.wav;Junk;2019-02-08 14:42:29+00:00;6185;3;0:00:07.998646
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0006921111.wav;Non-canonical;2019-02-08 14:42:38+00:00;6591;2;0:00:08.311124
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0034272950.wav;Crying;2019-02-08 14:42:42+00:00;2398;1;0:00:03.890137
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0350310363.wav;Canonical;2019-02-08 14:42:48+00:00;4258;2;0:00:06.327090
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0081248190.wav;Non-canonical;2019-02-08 14:43:01+00:00;11438;4;0:00:13.128355
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0039125804.wav;Junk;2019-02-08 14:43:12+00:00;9065;4;0:00:10.844969
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0015079137.wav;Non-canonical;2019-02-08 14:43:18+00:00;3947;2;0:00:05.695986
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0049427572.wav;Junk;2019-02-08 14:43:25+00:00;5060;2;0:00:06.825038
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0064524237.wav;Non-canonical;2019-02-08 14:43:44+00:00;1292;1;0:00:04.003947
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0021340705.wav;Junk;2019-02-08 14:43:50+00:00;4017;2;0:00:05.824139
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0059648431.wav;Non-canonical;2019-02-08 14:43:56+00:00;5007;3;0:00:06.740573
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0030940641.wav;Non-canonical;2019-02-08 14:44:03+00:00;4513;2;0:00:06.279783
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0081131952.wav;Junk;2019-02-08 14:44:11+00:00;6059;3;0:00:07.833462
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0023145881.wav;Non-canonical;2019-02-08 14:44:20+00:00;7743;4;0:00:09.477881
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0030956354.wav;Non-canonical;2019-02-08 14:44:30+00:00;7916;3;0:00:09.657481
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0008615203.wav;Junk;2019-02-08 14:44:39+00:00;6447;4;0:00:08.154934
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0026100548.wav;Junk;2019-02-08 14:44:52+00:00;11586;5;0:00:13.348413
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0019746347.wav;Junk;2019-02-08 14:45:01+00:00;6858;4;0:00:08.599985
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0015537026.wav;Non-canonical;2019-02-08 14:45:06+00:00;3127;2;0:00:04.683737
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0014679936.wav;Junk;2019-02-08 14:45:13+00:00;5118;3;0:00:06.817533
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0004870074.wav;Junk;2019-02-08 14:45:23+00:00;7964;4;0:00:09.795719
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0067843310.wav;Junk;2019-02-08 14:45:26+00:00;1895;1;0:00:03.474048
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0098206283.wav;Junk;2019-02-08 14:45:33+00:00;5075;3;0:00:06.896284
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0017476740.wav;Crying;2019-02-08 14:45:38+00:00;2866;1;0:00:04.344389
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0005960577.wav;Non-canonical;2019-02-08 14:45:48+00:00;8554;4;0:00:10.272515
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0064122145.wav;Junk;2019-02-08 14:45:56+00:00;6459;4;0:00:08.184053
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0069625608.wav;Non-canonical;2019-02-08 14:46:00+00:00;2171;1;0:00:03.681314
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0009407758.wav;Canonical;2019-02-08 14:46:04+00:00;2176;1;0:00:03.702148
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0089954652.wav;Junk;2019-02-08 14:46:10+00:00;4089;2;0:00:05.770705
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0021551279.wav;Non-canonical;2019-02-08 14:46:18+00:00;6025;3;0:00:07.805144
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0006846183.wav;Junk;2019-02-08 14:46:26+00:00;5915;3;0:00:07.672317
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0027787279.wav;Non-canonical;2019-02-08 14:46:33+00:00;4896;2;0:00:06.702829
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0079110357.wav;Junk;2019-02-08 14:46:41+00:00;6011;3;0:00:07.817601
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0036466145.wav;Junk;2019-02-08 14:46:51+00:00;8105;4;0:00:09.935641
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0089678240.wav;Junk;2019-02-08 14:46:58+00:00;5029;3;0:00:06.829004
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0088051705.wav;Non-canonical;2019-02-08 14:47:02+00:00;2769;1;0:00:04.299480
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0001244628.wav;Junk;2019-02-08 14:47:12+00:00;7851;5;0:00:09.583188
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0037328913.wav;Non-canonical;2019-02-08 14:47:16+00:00;2809;1;0:00:04.282643
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0051529498.wav;Junk;2019-02-08 14:47:34+00:00;15891;6;0:00:17.671033
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0090435989.wav;Junk;2019-02-08 14:47:38+00:00;2471;1;0:00:04.013372
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0080953262.wav;Laughing;2019-02-08 14:47:44+00:00;4372;2;0:00:06.151488
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0055100267.wav;Non-canonical;2019-02-08 14:47:48+00:00;2386;1;0:00:03.830583
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0031849957.wav;Canonical;2019-02-08 14:47:58+00:00;8071;4;0:00:09.789392
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0052954541.wav;Laughing;2019-02-08 14:48:07+00:00;6654;3;0:00:08.386670
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0071901678.wav;Junk;2019-02-08 14:48:14+00:00;5120;3;0:00:06.899475
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0025326536.wav;Non-canonical;2019-02-08 14:48:18+00:00;2019;1;0:00:03.578595
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0078136845.wav;Non-canonical;2019-02-08 14:48:21+00:00;1945;1;0:00:03.484856
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0043828675.wav;Canonical;2019-02-08 14:48:35+00:00;12063;4;0:00:13.892336
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0027856520.wav;Non-canonical;2019-02-08 14:48:41+00:00;3778;2;0:00:05.589740
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0005426560.wav;Non-canonical;2019-02-08 14:48:52+00:00;8759;5;0:00:10.432470
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0028478196.wav;Non-canonical;2019-02-08 14:48:58+00:00;4455;2;0:00:06.217781
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0096375158.wav;Canonical;2019-02-08 14:49:02+00:00;2441;1;0:00:03.935106
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0037590433.wav;Junk;2019-02-08 14:49:05+00:00;1883;1;0:00:03.396090
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0008404484.wav;Non-canonical;2019-02-08 14:49:13+00:00;5888;2;0:00:07.632746
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0097742268.wav;Non-canonical;2019-02-08 14:49:18+00:00;3057;1;0:00:04.563808
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0027447521.wav;Canonical;2019-02-08 14:49:25+00:00;5432;3;0:00:07.155188
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0893332532.wav;Junk;2019-02-08 14:49:33+00:00;6021;3;0:00:07.833538
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0056961496.wav;Canonical;2019-02-08 14:49:37+00:00;1856;1;0:00:03.386671
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0027555137.wav;Junk;2019-02-08 14:49:41+00:00;2527;1;0:00:04.063002
646;The maturity of baby sounds – Part 5;Please classify this sound:;/media/ihearu-play-team/BabyBabbles_Addition/0020953583.wav;Non-canonical;2019-02-08 14:49:51+00:00;8111;3;0:00:09.923541
